dataset,som_seed,regime,selector_seed,requested_k,selected_k,occupied_node_metaclusters,occupied_event_metaclusters,r_runtime_seconds,label_information_used_for_selection,evaluation_mode,n_total_events,n_evaluable_events,n_true_populations,n_predicted_clusters_all_events,n_predicted_clusters_evaluable,clusters_absent_from_evaluation,overclustering_ratio_evaluable,ari,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,hungarian_accuracy,matched_clusters,unmatched_evaluable_clusters,unmatched_evaluable_events,mean_population_effective_predicted_clusters,median_population_effective_predicted_clusters,mean_population_split_clusters_ge_1pct,mean_evaluable_cluster_purity,weighted_evaluable_cluster_purity,mean_cluster_effective_true_populations,mean_cluster_merge_populations_ge_1pct
Levine_32dim,12,official_fixed_k40,12345,40,40,40,40,4.31999999999999,False,multiclass_rectangular_hungarian,265627,104184,14,40,37,3,2.642857142857143,0.7539086714381839,0.8414580456909142,0.7505429619755095,0.759753529180685,0.9756734705431296,0.729689779620671,0.8149468063906047,0.7296897796206712,14,23,25449,1.7948477735804687,1.567425459952343,3.5,0.8778811692107121,0.9682580818551793,1.3700854701719178,2.027027027027027
Levine_32dim,13,official_auto_max40,12345,40,7,7,7,5.45000000000002,False,multiclass_rectangular_hungarian,265627,104184,14,7,5,2,0.35714285714285715,0.6594901111650402,0.2553691588536938,0.34827493767819145,0.28589892609868855,0.5492605821447379,0.6936189818014282,0.597328922098469,0.6936189818014282,5,0,0,1.0190534858136988,1.0,1.2857142857142858,0.7150336447903427,0.6936189818014282,2.062871236027532,3.4
Levine_32dim,13,official_fixed_ktrue,12345,14,14,14,14,0.919999999999987,False,multiclass_rectangular_hungarian,265627,104184,14,14,9,5,0.6428571428571429,0.6896000009434257,0.42390581913895803,0.5553243836560037,0.4687031843453326,0.6085132027914003,0.7385683022345081,0.6532562367582407,0.7385683022345082,9,0,0,1.1270676818280145,1.0220913051531373,1.5,0.6900603929901032,0.7388754511249328,1.96313032624332,2.7777777777777777
Levine_32dim,13,official_fixed_k40,12345,40,40,40,40,4.24000000000001,False,multiclass_rectangular_hungarian,265627,104184,14,40,35,5,2.5,0.6929165534491287,0.8392401503788163,0.7260559521599604,0.7558805860164941,0.9741217734776673,0.7130749443292635,0.8135977609533933,0.7130749443292637,14,21,27345,1.793330653531927,1.4961799045562454,3.642857142857143,0.8267900292834708,0.964687476003993,1.5820662142482085,2.2285714285714286
Levine_32dim,14,official_auto_max40,12345,40,6,6,6,5.06,False,multiclass_rectangular_hungarian,265627,104184,14,6,5,1,0.35714285714285715,0.6598918049623694,0.25539042537791284,0.34893828316436526,0.28579629805270573,0.5502973448057596,0.6940413115257622,0.5978564341653596,0.6940413115257621,5,0,0,1.0188380955658047,1.003797528050368,1.2857142857142858,0.7150931910581558,0.6940413115257621,2.0724489273045448,3.2
Levine_32dim,14,official_fixed_ktrue,12345,14,14,14,14,0.789999999999992,False,multiclass_rectangular_hungarian,265627,104184,14,14,12,2,0.8571428571428571,0.6911142069044164,0.45584188397480113,0.5720299476984348,0.4804062418399519,0.6742750577254116,0.7364278584043615,0.6545570090090401,0.7364278584043615,12,0,0,1.239868887134334,1.0735638800328167,1.8571428571428572,0.6609406674015583,0.7445097135836597,2.035651433773813,3.25
Levine_32dim,14,official_fixed_k40,12345,40,40,40,40,4.28,False,multiclass_rectangular_hungarian,265627,104184,14,40,36,4,2.5714285714285716,0.6985364133779294,0.8193598192401367,0.7202322086635353,0.7463359335632204,0.9713095772682611,0.7309951624049758,0.8280625417603686,0.7309951624049759,14,22,24576,1.8374025615521272,1.6475505328081927,3.642857142857143,0.8327729274647763,0.9480246486984566,1.4984940957460073,2.388888888888889
Levine_32dim,15,official_auto_max40,12345,40,6,6,6,4.70999999999998,False,multiclass_rectangular_hungarian,265627,104184,14,6,5,1,0.35714285714285715,0.6797671427093761,0.2583928899957378,0.35292924594215985,0.2906022651709935,0.5525152433049375,0.7052138524149582,0.6055492595806469,0.7052138524149582,5,0,0,1.0094780952684987,1.002429593262154,1.1428571428571428,0.7235000919880658,0.7052138524149582,1.9508570299097474,3.0
Levine_32dim,15,official_fixed_ktrue,12345,14,14,14,14,0.939999999999998,False,multiclass_rectangular_hungarian,265627,104184,14,14,11,3,0.7857142857142857,0.661642218769761,0.43599889553694365,0.5451182490828494,0.4693482478710762,0.61234869399983,0.7121630960608154,0.6411859427716609,0.7121630960608155,11,0,0,1.209476057929693,1.0487530619143857,1.8571428571428572,0.7469560367208022,0.7495104814558857,1.826856510872633,2.4545454545454546
Levine_32dim,15,official_fixed_k40,12345,40,40,40,40,4.31,False,multiclass_rectangular_hungarian,265627,104184,14,40,37,3,2.642857142857143,0.7594081543711232,0.8471317200920011,0.7063566141776664,0.7554895425913305,0.9734666644962321,0.7567764723949936,0.841304242649501,0.7567764723949935,14,23,22974,1.8512388080920903,1.863070267970778,4.071428571428571,0.8726216536155197,0.9663863933041542,1.3674993874431594,2.189189189189189
