dataset,k,seed,runtime_seconds,converged,n_iter,lower_bound,all_checks_passed,algorithm,label_information_used_for_regime_definition,labels_used_for_sampling_or_fit,training_size,n_total_events,n_components_occupied,target,target_events,target_prevalence,ari,selected_target_component,selected_component_size,target_tp,target_fp,target_fn,target_precision,target_recall,target_f1,target_f2,target_overlapping_components,target_effective_components,target_dominant_component_capture
Nilsson_rare,10,13,0.7184493000022485,True,21,-0.7837762436222481,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.002486480997709,2,4761,331,4430,27,0.0695232094097878,0.9245810055865922,0.1293221332291463,0.2672372032940416,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,14,0.6984938000023249,True,21,-0.738381015313336,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0041425293484999,8,3707,331,3376,27,0.0892905314270299,0.9245810055865922,0.1628536285362853,0.3220470908737108,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,15,0.7576954999967711,True,22,-0.735264181670707,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0021769033242743,1,5921,331,5590,27,0.0559027191352812,0.9245810055865922,0.1054308010829749,0.2250781993744049,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,16,0.7159103000012692,True,21,-0.7322880305138477,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0025586752820345,1,3947,331,3616,27,0.0838611603749683,0.9245810055865922,0.1537746806039489,0.3076780070645101,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,17,1.239194599998882,True,39,-0.6357710656343584,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0037885336933575,8,4554,331,4223,27,0.0726833552920509,0.9245810055865922,0.134771986970684,0.276478449716004,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,18,0.6870886000033352,True,20,-0.7142668950698673,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0022869385461281,9,6183,330,5853,28,0.0533721494420184,0.9217877094972068,0.1009020027518728,0.216677609980302,2,1.315716394683631,0.9217877094972068
Nilsson_rare,10,19,0.6338467000023229,True,18,-0.7044876203992817,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0027877515880397,2,6146,331,5815,27,0.0538561666124308,0.9245810055865922,0.1017835178351783,0.2183953549749274,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,20,0.7217078000030597,True,21,-0.7140610426730395,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0022736789528328,3,6180,330,5850,28,0.0533980582524271,0.9217877094972068,0.1009483022330988,0.2167630057803468,2,1.315716394683631,0.9217877094972068
Nilsson_rare,10,21,1.247410600000876,True,39,-0.6357695709905328,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.003786341741409,1,4554,331,4223,27,0.0726833552920509,0.9245810055865922,0.134771986970684,0.276478449716004,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,22,0.7508411999951932,True,22,-0.7387986531128363,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0040722106617083,3,3737,331,3406,27,0.0885737222370885,0.9245810055865922,0.1616605616605616,0.3201779841361966,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,23,0.5606592999974964,True,16,-0.7395864725995501,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0042011367995135,2,4355,331,4024,27,0.0760045924225028,0.9245810055865922,0.1404625503925313,0.285985830309314,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,24,1.4761923999976716,True,46,-0.7575712913915631,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0013761639635105,4,6089,330,5759,28,0.0541960913122023,0.9217877094972068,0.1023731968357375,0.2193857199840446,3,1.3316675436342322,0.9217877094972068
Nilsson_rare,10,25,0.7296124999993481,True,21,-0.684488206687273,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.001990476992817,9,6054,331,5723,27,0.0546745953088866,0.9245810055865922,0.103243917654398,0.2210793481164841,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,26,1.3124381000016,True,41,-0.6366310951398189,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0024466612406942,8,6044,331,5713,27,0.0547650562541363,0.9245810055865922,0.1034051858794126,0.2213750668806848,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,27,0.8522522000057506,True,24,-0.7777640671390037,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0007907866636605,7,6092,330,5762,28,0.0541694024950755,0.9217877094972068,0.1023255813953488,0.219298245614035,2,1.315716394683631,0.9217877094972068
Nilsson_rare,10,28,0.5120311999999103,True,14,-0.6974676474324618,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0041287372199308,1,4544,331,4213,27,0.0728433098591549,0.9245810055865922,0.135046919624643,0.2769410977242302,2,1.3066097979073197,0.9245810055865922
Nilsson_rare,10,29,1.442487499996787,True,45,-0.7572810491984191,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,10,HSCs,358,0.0081105573176257,0.0013692703623798,3,6090,330,5760,28,0.0541871921182266,0.9217877094972068,0.1023573200992555,0.21935655410795,3,1.3316675436342322,0.9217877094972068
Nilsson_rare,40,0,3.6141308000005674,True,29,0.5186217010117417,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.0009482773308936,28,1199,319,880,39,0.2660550458715596,0.8910614525139665,0.4097623635195889,0.6062333713416951,3,1.505455838096268,0.8910614525139665
Nilsson_rare,40,1,4.37063450000278,True,35,0.5428332840859684,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.000851507973902,27,1453,322,1131,36,0.2216104611149346,0.8994413407821229,0.3556046383213694,0.5580589254766031,4,1.5011125825586198,0.8994413407821229
Nilsson_rare,40,2,3.5305584000016097,True,28,0.4863163735369884,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.0008237059277673,2,1173,318,855,40,0.2710997442455243,0.888268156424581,0.4154147615937296,0.6103646833013435,3,1.5228398378192018,0.888268156424581
Nilsson_rare,40,3,5.0465299999996205,True,41,0.4810205532325363,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.0011322124377899,26,996,305,691,53,0.3062248995983935,0.8519553072625698,0.4505169867060561,0.6280889621087316,5,1.725402607444381,0.8519553072625698
Nilsson_rare,40,4,3.979748200006725,True,32,0.5304731467024579,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.0009636933138943,14,1193,319,874,39,0.2673931265716681,0.8910614525139665,0.4113475177304964,0.6076190476190476,5,1.6061166226852888,0.8910614525139665
Nilsson_rare,40,5,3.856761299997743,True,31,0.5232657182912112,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.0007501010380904,2,1369,321,1048,37,0.2344777209642074,0.8966480446927374,0.3717429067747539,0.5730096394144948,4,1.5065921289463615,0.8966480446927374
Nilsson_rare,40,6,3.226044100003492,True,25,0.534441859984235,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.0010274359476633,18,959,307,652,51,0.3201251303441084,0.8575418994413407,0.466211085801063,0.6419907988289419,5,1.715019692968362,0.8575418994413407
Nilsson_rare,40,7,2.8518519999997807,True,22,0.5245499664398642,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.0011478125030596,24,1040,316,724,42,0.3038461538461538,0.88268156424581,0.452074391988555,0.6391585760517798,4,1.578299844278915,0.88268156424581
Nilsson_rare,40,8,5.070864200002688,True,42,0.5362714995287975,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.0012294270408364,16,1061,315,746,43,0.29688972667295,0.8798882681564246,0.4439746300211417,0.631768953068592,3,1.56021974273156,0.8798882681564246
Nilsson_rare,40,9,3.0543787000060547,True,24,0.5365743254789227,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.000778974188756,16,1314,322,992,36,0.2450532724505327,0.8994413407821229,0.3851674641148325,0.5863073561544064,3,1.474328193707535,0.8994413407821229
Nilsson_rare,40,10,3.3549630000052275,True,27,0.5056310667455449,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.0008723022577791,19,1164,317,847,41,0.2723367697594501,0.8854748603351955,0.4165571616294349,0.6105546995377503,3,1.5332816016483368,0.8854748603351955
Nilsson_rare,40,11,3.1402088000031654,True,25,0.5369375348982804,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.0009993031584754,0,1086,319,767,39,0.2937384898710866,0.8910614525139665,0.4418282548476455,0.6334392374900716,3,1.505455838096268,0.8910614525139665
Nilsson_rare,40,12,3.0216737000009743,True,23,0.5400365198717924,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.0011558429046117,1,839,292,547,66,0.3480333730631704,0.8156424581005587,0.4878863826232247,0.6428885953324527,5,1.900199588793322,0.8156424581005587
Nilsson_rare,40,13,4.646584999994957,True,38,0.5369794844478804,True,sklearn_GaussianMixture_1.6.1,False,False,20000,44140,40,HSCs,358,0.0081105573176257,0.0010275345143019,39,1245,319,926,39,0.2562248995983935,0.8910614525139665,0.3980037429819089,0.5958162121778111,3,1.505455838096268,0.8910614525139665
