dataset,scheme,source_run,seed,ari,macro_f1,weighted_f1,hungarian_accuracy,median_bmu_distance,runtime_seconds,n_total_events,n_evaluable_events,n_true_populations,n_predicted_clusters_all_events
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,10,0.81983176213718,0.7075498399303649,0.8642176238039484,0.8122355330712956,2.3745217323303223,1.809159799995541,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,11,0.8438106801942643,0.6816971163870367,0.8723759352673259,0.8218644800932804,2.3786725997924805,1.824932899995474,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,12,0.7484055956891592,0.689613113949498,0.8056451044901278,0.7317059409850865,2.3832249641418457,1.8860077999997884,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,13,0.823126815953378,0.696724625745922,0.8685410450569405,0.8217892539446712,2.3772332668304443,1.8802049000005356,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,14,0.8817539028999304,0.6855756748369859,0.8832128649617731,0.8472344987117522,2.380173683166504,1.7322176000016043,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,15,0.8541164299388819,0.6916777182397617,0.8707413429493032,0.8386963308446016,2.371444702148437,1.735399299999699,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,16,0.8589132775901563,0.7063727428407388,0.8777095427572871,0.8337125984992383,2.3805642127990723,1.7865193999969051,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,17,0.8769739923352113,0.690733188298171,0.8765616133928733,0.838545878547383,2.382272243499756,1.7482339999987744,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,18,0.8682322888050095,0.6788729841460878,0.8805886582028237,0.840163240742482,2.3859434127807617,1.795685199998843,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,19,0.871716629203585,0.7008944932288607,0.8833458324362689,0.8458240084253287,2.377938032150269,1.7286319999984698,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,20,0.8783005283569509,0.7058869737062755,0.8831427649427972,0.8475542098433415,2.3798165321350098,1.7808675999986008,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,21,0.8773438985183231,0.6904409792994053,0.8767501401057085,0.8446391965847329,2.38025426864624,1.7384374999965075,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,22,0.8547488545817677,0.685442404457695,0.8735115043593027,0.832678238955861,2.380257129669189,1.7447239000030097,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,23,0.8385901614849549,0.6893668147854232,0.8660061614231366,0.8241964907001674,2.383923053741455,1.7749986999988323,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,24,0.8472860566129338,0.7128698215017996,0.8752678798649738,0.8350666691742049,2.378026008605957,1.765095900002052,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,25,0.8195122556852128,0.6868116158850909,0.8547131401310257,0.8014593872830196,2.379491806030273,1.7294099999999162,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,26,0.7530303721086785,0.7026841894752051,0.8331968770463115,0.7677392661689203,2.3769021034240723,1.8387965999936569,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,27,0.6485931783910027,0.6544313173732816,0.749565967125644,0.6372595114061648,2.3803744316101074,1.8432994999966468,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,28,0.8605342006493005,0.7143363030554148,0.8772977526831321,0.8354051868429466,2.37998628616333,1.7274793999968097,86864,53173,24,40
Samusik_01,Python_20k_train,EXP-021B_flowsom_samusik_stability30_20260910,29,0.844553107013709,0.6945298656671183,0.8717877595799618,0.8201530852124198,2.3772974014282227,1.880479400002514,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,0,0.8811745450182734,0.6660449121643764,0.8717676751922265,0.8271491170330807,2.36019842247423,15.45,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,1,0.8904778135280774,0.7004794795833309,0.885191878956852,0.8452598123107592,2.35932396587237,15.39,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,2,0.898088641604602,0.6713327486399298,0.8813504827764065,0.8519173264626785,2.36231313203087,15.44,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,3,0.8705319535184978,0.6897994607346344,0.8765368690272317,0.8408214695428131,2.35776494449337,15.48,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,4,0.904411456798534,0.7094081769602046,0.8889409187305953,0.8530457186918172,2.36144153998608,15.81,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,5,0.8780840036854435,0.6905486013167503,0.8778680813404303,0.8372670340210258,2.35820143551344,15.52,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,6,0.8735114000903688,0.6632377096497714,0.8732103237378795,0.8312865552065898,2.36451157962652,15.67,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,7,0.8843658283122715,0.6791780925561316,0.8772069228794527,0.8435484174298986,2.36629635605518,15.69,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,8,0.8840087706028583,0.6916418223020065,0.876802023925893,0.8317002990239407,2.36071287364098,15.61,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,9,0.8630615459036319,0.680656184792262,0.8678692972396875,0.820096665600963,2.3598173042863,15.64,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,10,0.8562349277273502,0.6878738024087477,0.8692451059848395,0.8287476726910274,2.36389678679067,15.28,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,11,0.86880874945472,0.6614450484250305,0.8680833622019175,0.8288228988396367,2.36195160717618,15.22,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,12,0.8502891495260553,0.6666398936797268,0.8536320994869098,0.8089255825324883,2.36209674791148,15.83,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,13,0.8826323999878493,0.6974130518275413,0.8740438249006968,0.8461813326312226,2.36151657684719,15.61,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,14,0.8962633329313466,0.6916924590752992,0.8855912228315682,0.8626370526394975,2.36316919914886,15.83,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,15,0.8813724992157748,0.6656036682470382,0.8740469582304302,0.8369097098151317,2.36350563840924,15.55,86864,53173,24,40
Samusik_01,R_full_event,EXP-046A-R1_flowsom_r_samusik_full_event_20260916,16,0.8790649869508974,0.6896886300402675,0.8738030340688172,0.8403701126511576,2.36288014556397,15.38,86864,53173,24,40
