dataset,som_seed,regime,reference_informed_k,selected_k,ari,macro_f1,unit,source_id
Samusik_01,3,official_fixed_k40,False,40,0.878141566435008,0.7157803206305852,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,4,official_auto_max40,False,10,0.4130811032491615,0.3153239612053071,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,4,official_fixed_ktrue,True,24,0.5902310882725,0.6146031715122204,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,4,official_fixed_k40,False,40,0.8591591776819658,0.6867181197298603,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,5,official_auto_max40,False,7,0.3971440849393933,0.18236035345052684,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,5,official_fixed_ktrue,True,24,0.8946143735720264,0.6893953029128914,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,5,official_fixed_k40,False,40,0.8653667966247414,0.6910450713172436,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,6,official_auto_max40,False,8,0.405633156943437,0.23608326409076064,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,6,official_fixed_ktrue,True,24,0.5726127252296155,0.6087469100122734,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,6,official_fixed_k40,False,40,0.8607455521189581,0.6973372483053302,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,7,official_auto_max40,False,9,0.42394192194505476,0.272197555538149,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,7,official_fixed_ktrue,True,24,0.8567735160433054,0.6741961913492137,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,7,official_fixed_k40,False,40,0.732462320444486,0.6570190707314386,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,8,official_auto_max40,False,9,0.4220363890569769,0.284120009905694,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,8,official_fixed_ktrue,True,24,0.8721619944612002,0.6758310254606279,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,8,official_fixed_k40,False,40,0.8916459890034237,0.7013203287681481,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,9,official_auto_max40,False,8,0.40388744612757593,0.23344719627760604,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,9,official_fixed_ktrue,True,24,0.870761825870925,0.6605629455968556,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,9,official_fixed_k40,False,40,0.8131395806865389,0.7195022390086542,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,10,official_auto_max40,False,9,0.4169097957976973,0.28027536849097495,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,10,official_fixed_ktrue,True,24,0.5786891554880758,0.6495008582652392,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,10,official_fixed_k40,False,40,0.8830148896960327,0.7063780213998859,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,11,official_auto_max40,False,7,0.43165730545639147,0.20101674183750737,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,11,official_fixed_ktrue,True,24,0.8493398649040594,0.6555395800717868,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,11,official_fixed_k40,False,40,0.8552684841985821,0.6797600960984838,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,12,official_auto_max40,False,6,0.4117786499632607,0.17002859351704988,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,12,official_fixed_ktrue,True,24,0.5942110534408812,0.6222142068297666,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,12,official_fixed_k40,False,40,0.8766224840478013,0.6935659889636914,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,13,official_auto_max40,False,8,0.43300942681409466,0.22747211103157658,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,13,official_fixed_ktrue,True,24,0.579220585034235,0.6155743599402043,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,13,official_fixed_k40,False,40,0.8770730245049753,0.7029229783283091,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,14,official_auto_max40,False,8,0.40798843613774327,0.24506646694079925,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,14,official_fixed_ktrue,True,24,0.5877727067588963,0.6062429926518154,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,14,official_fixed_k40,False,40,0.8974644529865582,0.6865680827240914,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,15,official_auto_max40,False,9,0.41740549531205007,0.27826148929380573,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,15,official_fixed_ktrue,True,24,0.8265433401861499,0.6177560850491627,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,15,official_fixed_k40,False,40,0.8566264731911167,0.6823711458661136,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,16,official_auto_max40,False,8,0.4102546982897393,0.2359195943318871,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,16,official_fixed_ktrue,True,24,0.8809625333418962,0.6636061155429372,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,16,official_fixed_k40,False,40,0.8634755239646758,0.7171021338883617,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,17,official_auto_max40,False,10,0.45234575010556394,0.33059025655741253,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,17,official_fixed_ktrue,True,24,0.8510442335433059,0.6638476837635309,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,17,official_fixed_k40,False,40,0.8889469404069777,0.6902306030977577,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,18,official_auto_max40,False,9,0.4144128378200631,0.2831676297278101,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,18,official_fixed_ktrue,True,24,0.8775672117875124,0.6503255353183279,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,18,official_fixed_k40,False,40,0.8701323942123119,0.6939623262298332,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,19,official_auto_max40,False,6,0.39804753416818317,0.172480868575449,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,19,official_fixed_ktrue,True,24,0.850033085335665,0.6589804848063875,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,19,official_fixed_k40,False,40,0.8717252548645291,0.7019422011870186,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,20,official_auto_max40,False,8,0.40896151182251095,0.23686712301997584,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,20,official_fixed_ktrue,True,24,0.5936447748767882,0.6192033689879666,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,20,official_fixed_k40,False,40,0.8827411891244733,0.7083848466352723,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,21,official_auto_max40,False,10,0.413522014445463,0.32068609057780967,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,21,official_fixed_ktrue,True,24,0.8663205135330398,0.6873688838490167,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,21,official_fixed_k40,False,40,0.8773438985183231,0.6900101151056511,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,22,official_auto_max40,False,8,0.4143391174395857,0.2337686036432257,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,22,official_fixed_ktrue,True,24,0.8786995339191157,0.6631198800526371,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,22,official_fixed_k40,False,40,0.8547488545817677,0.685442404457695,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,23,official_auto_max40,False,7,0.4154421605664583,0.1975595816836019,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,23,official_fixed_ktrue,True,24,0.8650382393787884,0.6664569226788345,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,23,official_fixed_k40,False,40,0.8866437071130381,0.6810439819697544,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,24,official_auto_max40,False,8,0.4096297246971789,0.24238678865397653,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,24,official_fixed_ktrue,True,24,0.8756348810030945,0.6643619446677723,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,24,official_fixed_k40,False,40,0.8336908829730197,0.7115513918283675,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,25,official_auto_max40,False,7,0.4098904448889018,0.21366073342039296,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,25,official_fixed_ktrue,True,24,0.8612932100254831,0.6643961312063417,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,25,official_fixed_k40,False,40,0.8195122556852128,0.6868116158850909,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,26,official_auto_max40,False,9,0.42116233525523217,0.28198864828146114,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,26,official_fixed_ktrue,True,24,0.8457892619133103,0.6803722314578443,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,26,official_fixed_k40,False,40,0.8487671145976949,0.70772120764981,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,27,official_auto_max40,False,11,0.4572313256457579,0.35824945090489835,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,27,official_fixed_ktrue,True,24,0.8703173203319478,0.6643025075694045,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,27,official_fixed_k40,False,40,0.8780755797543999,0.6830131956612329,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,28,official_auto_max40,False,7,0.42046346174695354,0.2171673926665644,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,28,official_fixed_ktrue,True,24,0.6024872744072465,0.6387383800662677,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,28,official_fixed_k40,False,40,0.8605342006493005,0.7143363030554148,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,29,official_auto_max40,False,7,0.408727388891364,0.21131462159575576,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,29,official_fixed_ktrue,True,24,0.8616733697291661,0.6843360933310043,paired_SOM_seed,flowsom_auto_multiclass_runs
Samusik_01,29,official_fixed_k40,False,40,0.8969387619196587,0.6908402126871366,paired_SOM_seed,flowsom_auto_multiclass_runs
