dataset,method,regime,label_informed_regime,repeat_type,repeat_id,ari,precision,recall,f1,f2,source_id
Mosmann_rare,GMM,K=2,True,controlled_seed,13,4.369289570185144e-05,0.0004669761949491,0.7981651376146789,0.0009334062892272,0.0023294295307404,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,14,4.3761187103888017e-05,0.0004670188095851,0.7981651376146789,0.0009334914188533,0.0023296416100769,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,15,4.3684862621614334e-05,0.0004669711819738,0.7981651376146789,0.0009333962749978,0.0023294045827688,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,16,4.368887913009415e-05,0.000466973688448,0.7981651376146789,0.0009334012820856,0.0023294170566878,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,17,4.374511689327948e-05,0.0004670087819122,0.7981651376146789,0.000933471386956,0.0023295917055824,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,18,4.374109949884845e-05,0.0004670062750613,0.7981651376146789,0.0009334663791161,0.0023295792297929,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,19,4.369289570185144e-05,0.0004669761949491,0.7981651376146789,0.0009334062892272,0.0023294295307404,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,20,4.375315187200541e-05,0.0004670137956948,0.7981651376146789,0.0009334814027972,0.0023296166575624,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,21,4.3684862621614334e-05,0.0004669711819738,0.7981651376146789,0.0009333962749978,0.0023294045827688,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,22,4.374109949884845e-05,0.0004670062750613,0.7981651376146789,0.0009334663791161,0.0023295792297929,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,23,4.3765204814764905e-05,0.0004670213165706,0.7981651376146789,0.0009334964269619,0.0023296540865345,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,24,4.3761187103888017e-05,0.0004670188095851,0.7981651376146789,0.0009334914188533,0.0023296416100769,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,25,4.369289570185144e-05,0.0004669761949491,0.7981651376146789,0.0009334062892272,0.0023294295307404,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,26,4.3765204814764905e-05,0.0004670213165706,0.7981651376146789,0.0009334964269619,0.0023296540865345,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,27,4.369289570185144e-05,0.0004669761949491,0.7981651376146789,0.0009334062892272,0.0023294295307404,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,28,4.3761187103888017e-05,0.0004670188095851,0.7981651376146789,0.0009334914188533,0.0023296416100769,gmm_rare_runs
Mosmann_rare,GMM,K=2,True,controlled_seed,29,4.3765204814764905e-05,0.0004670213165706,0.7981651376146789,0.0009334964269619,0.0023296540865345,gmm_rare_runs
Mosmann_rare,GMM,K=10,False,controlled_seed,0,0.0001069053486367,0.0067546631963809,1.0,0.0134186876769666,0.0328848126470765,gmm_rare_runs
Mosmann_rare,GMM,K=10,False,controlled_seed,1,8.332954439478621e-05,0.0051575660073814,1.0,0.0102622040201478,0.0252665739452943,gmm_rare_runs
Mosmann_rare,GMM,K=10,False,controlled_seed,2,7.91187919665868e-05,0.0051761800740811,1.0,0.0102990504086549,0.0253559132781241,gmm_rare_runs
Mosmann_rare,GMM,K=10,False,controlled_seed,3,0.0001112473832868,0.0071545782737118,1.0,0.0142075078206465,0.0347776147023163,gmm_rare_runs
Mosmann_rare,GMM,K=10,False,controlled_seed,4,6.893451738615223e-05,0.0047455265793025,1.0,0.009446225842794,0.0232856227301858,gmm_rare_runs
Mosmann_rare,GMM,K=10,False,controlled_seed,5,7.890218417502869e-05,0.0051238659333427,1.0,0.0101954915349359,0.0251047952462112,gmm_rare_runs
Mosmann_rare,GMM,K=10,False,controlled_seed,6,0.000142335777275,0.0105368790767686,0.963302752293578,0.0208457415128052,0.0504759157773291,gmm_rare_runs
Mosmann_rare,GMM,K=10,False,controlled_seed,7,8.63384972321251e-05,0.0053292915464724,1.0,0.0106020815095807,0.0260902867537938,gmm_rare_runs
